Dynamical Matrix
-0.00000000 -82.76996575 -1.35687126
0.00000000 1.48157629 11.13654388
-6.38012216 -3.68612387 -3.80632231
6.38012216 -3.68612387 -3.80632231
0.00000000 0.81714800 0.61827199
-0.33031931 -1.14708917 -0.12780075
0.33031931 -1.14708917 -0.12780075
0.00000000 0.70372098 1.17711255
-0.00000000 -0.07659051 -3.35579835
-0.00000000 -1.58942404 -0.53620852
-0.00000000 -0.07135834 -0.34600189
0.00000000 -0.08013829 1.72322032
-0.00000000 1.44766049 0.04089858
-0.00000000 -0.07669347 -0.10773065
0.17598207 0.62941475 -0.23068722
-0.17598207 0.62941475 -0.23068721
0.00000000 -0.93553776 1.25717245
5.31384202 3.57792906 -6.85664049
-5.31384202 3.57792906 -6.85664049
-0.27685145 -0.00000000 0.00000000
1.83082119 -0.00000000 0.00000000
0.61554493 -0.00000000 -0.00000000
-13.81358969 -0.00000000 -0.00000000
-1.00341652 0.00000001 -0.00000000
72.88861596 0.00000000 -0.00000000
-0.16849274 0.00000000 0.00000000
0.02657605 -0.19230701 0.20386022
0.02657604 0.19230700 -0.20386022
-4.63715482 0.00000000 0.00000000
-1.69001723 -7.26356688 -0.86951165
-1.69001723 7.26356689 0.86951165
0.08612728 0.00000000 -0.00000000
-0.63676991 -0.00000000 0.00000000
-0.00298760 -0.00000000 0.00000000
0.46542173 0.00000000 0.00000000
-0.68125963 0.00000000 0.00000000
-0.01789592 -0.00000000 0.00000000
0.09996684 -0.00000000 -0.00000000
-0.06108384 -0.17091783 0.07015215
-0.06108384 0.17091783 -0.07015215
0.70774992 -0.00000000 0.00000000
0.84296598 -4.59641943 -1.96056090
0.84296598 4.59641943 1.96056090
0.00000000 -0.47210240 0.47741636
-0.00000000 -0.16100031 -4.97375150
-0.00000000 2.33700072 -0.16235937
0.00000000 -166.42241477 -17.33598276
0.00000000 25.70735625 -82.65340055
0.00000000 614.49039055 132.80645998
0.00000000 -0.21928844 0.48667392
-0.20736857 -0.16088628 0.06036002
0.20736857 -0.16088628 0.06036003
0.00000000 10.34092945 4.71975759
-7.05471154 -5.46022888 1.18705116
7.05471154 -5.46022887 1.18705116
-0.00000000 0.56488291 -0.24095559
0.00000000 -1.70259244 1.51783466
0.00000000 -1.63915809 -0.02206424
0.00000000 1.66893150 -0.22632294
0.00000000 -2.05548817 1.47493639
0.00000000 -3.68591017 -0.36065050
0.00000000 0.43631702 -0.23299722
-0.17568763 -0.24557097 0.15982659
0.17568764 -0.24557097 0.15982659
0.00000000 1.82755550 -0.26207250
-4.86879130 -8.23815860 -0.24867208
4.86879131 -8.23815859 -0.24867208
0.00000000 0.49711997 2.10545773
0.00000000 -4.70270958 -4.33804367
0.00000000 0.00933373 -5.72835745
0.00000000 -38.35281016 -46.05186082
-0.00000000 0.90275722 -1.34953593
0.00000000 133.79088778 189.83460093
-0.00000000 0.48672034 1.71251961
0.08927180 -0.11476620 -2.80885169
-0.08927180 -0.11476620 -2.80885169
-0.00000000 4.62144057 -4.36143760
-0.86318845 2.42061035 4.96479782
0.86318845 2.42061036 4.96479782
-0.00000000 -0.23700868 0.70483771
-0.00000000 1.50748980 -0.42589722
0.00000000 -0.00534848 -0.98772208
-0.00000000 -0.20950097 -0.80612870
-0.00000000 1.50987079 0.04927712
-0.00000000 -0.29753180 1.04991078
0.00000000 -0.22056984 0.82528176
0.07672833 0.16779219 -2.34070732
-0.07672833 0.16779219 -2.34070732
0.00000000 -0.35524032 -1.24914304
-2.01208981 -0.29107170 5.01054961
2.01208981 -0.29107171 5.01054961
0.74161430 0.00000000 0.00000000
-0.15446448 -0.00000000 -0.00000000
-4.64458263 0.00000000 -0.00000000
0.71344939 -0.00000000 0.00000000
-4.39584758 0.00000000 0.00000000
-0.18065602 0.00000000 -0.00000000
65.74619219 0.00000000 0.00000000
-114.39395569 -47.06276326 -33.88549712
-114.39395569 47.06276327 33.88549712
0.03696818 -0.00000000 -0.00000000
-0.00812960 0.03256636 0.01991281
-0.00812961 -0.03256636 -0.01991281
-7.84681126 0.00000000 -0.00000000
0.89451100 0.00000000 0.00000000
0.99106802 0.00000000 -0.00000000
-0.03349522 -0.00000000 0.00000000
0.14181614 -0.00000000 0.00000000
0.10332467 -0.00000000 -0.00000000
-0.11793406 0.00000000 -0.00000000
0.11839191 0.17163003 -0.02325810
0.11839191 -0.17163003 0.02325810
-0.11085644 -0.00000000 0.00000000
0.06891115 0.07118058 -0.14174266
0.06891115 -0.07118058 0.14174266
0.00000000 -6.30911356 2.49012145
0.00000000 0.84143596 -0.83265694
-0.00000000 10.31106547 -4.70731061
0.00000000 1.06514030 -0.22342299
0.00000000 -5.45013437 1.34105959
0.00000000 -0.17814822 0.58271597
-0.00000000 40.90644345 20.97772088
-64.19038798 -71.21429729 -40.31210364
64.19038801 -71.21429730 -40.31210365
0.00000000 -0.29723649 -0.00000044
0.03206921 0.72248474 0.08152506
-0.03206921 0.72248474 0.08152506
0.00000000 -1.50069340 -2.26410057
-0.00000000 -0.85459093 0.95121295
0.00000000 1.83988638 0.22245548
-0.00000000 -0.40955537 0.03840200
0.00000000 1.31870969 -0.08010716
0.00000000 0.41284337 -0.20287797
0.00000000 -0.87981138 -0.00000000
0.17850969 1.85486300 -0.07358008
-0.17850969 1.85486300 -0.07358008
0.00000000 0.25505702 0.00000050
0.08829370 -0.81648444 -0.13960143
-0.08829370 -0.81648444 -0.13960143
-0.00000000 2.47130192 0.12335275
-0.00000000 -0.81726093 0.61958120
0.00000000 -4.53088857 -4.38833819
-0.00000000 -0.21207978 -6.91259907
0.00000000 1.47334763 11.06004991
0.00000000 0.50704361 1.76749880
-0.00000000 20.95241061 26.52849050
-46.19862960 -40.11865918 -44.33737518
46.19862958 -40.11865916 -44.33737517
-0.00000000 0.00000036 -0.40334642
0.01419545 0.08976011 0.62173278
-0.01419546 0.08976011 0.62173278
0.00000000 -2.28295930 0.12499048
0.00000000 0.97246686 1.29024653
0.00000000 0.27147798 -1.25612710
0.00000000 0.03953390 -0.21810587
0.00000000 -0.07395565 -0.11527426
-0.00000000 -0.21717661 0.82437047
0.00000000 0.00000000 0.32063860
-0.01390723 -0.08275714 -0.70407050
0.01390723 -0.08275714 -0.70407050
0.00000000 -0.00000042 -0.81645624
-0.15925067 -0.15756774 2.11553973
0.15925067 -0.15756774 2.11553973
-0.00614905 0.50440284 -0.12401090
-0.00032510 -0.48102033 0.33066718
-1.76327383 -7.59724569 0.94603461
0.01026202 0.11094251 0.40642025
-1.64902344 -1.72575882 -6.85379712
-0.06244835 -0.25739432 -0.08299806
-114.12869965 -64.17005456 -46.20275403
470.30920267 205.69310995 148.40793072
-38.76172628 34.09045845 24.54515671
-0.00517085 0.03816384 -0.02471293
-0.15938335 0.00227710 -0.00150554
0.15657766 -0.02092653 -0.03194009
6.06758571 6.28902717 4.38239724
-0.33201097 -0.05969120 -5.55273595
0.03928910 -4.86720664 1.77185970
0.01603512 0.04081926 -0.03782223
-0.07030116 -0.21652322 0.21758787
-0.08655081 -0.18734096 0.09723988
0.06015167 0.15179596 -0.02128104
-0.54415363 0.32359886 -0.03443790
0.75060320 0.06128548 0.00110913
0.11584846 0.07632423 0.18010181
0.88822550 0.01603543 0.09651176
-0.98116730 -0.00559146 0.31314972
0.56009651 2.19411306 -0.22629636
-0.22038648 -2.56329295 0.97802955
-7.00920778 -5.22157861 -1.25129144
0.12796839 -0.72963074 0.39977324
-1.74419568 2.36557868 -4.39738613
-0.24507685 -0.26133381 -0.12458235
-47.05347139 -71.42798120 -40.35475859
207.26225057 255.08497758 131.49179643
-34.02671422 39.67254443 25.10662084
0.03367150 0.72870725 -0.08900782
0.02058219 -1.41769631 -0.00207445
0.00174303 -1.60103574 -0.00207420
6.20678141 -1.43362918 2.94427398
1.26506022 4.73925630 -3.25283058
-3.57753441 -7.43381574 0.71862156
0.04249842 0.69762891 -0.16963089
-0.20032123 -2.34377208 0.73701568
-0.17692332 -0.25779058 0.18929419
0.18190169 1.98098563 -0.07355979
0.23298328 -3.25242499 -0.10649454
-0.03984731 -4.85209711 -0.10649454
0.07317987 -0.83518739 0.15173937
0.10924818 2.10080085 0.14919914
0.04026205 1.71876868 0.14919953
-0.13722312 -0.23414151 -0.81106808
0.41716092 1.27390846 -0.16698334
0.95001200 -0.99393612 4.54376225
0.46719427 0.39590697 2.08266358
-6.33617256 -3.61734302 -3.40569945
0.13323197 0.03975106 -2.29152783
-33.83710680 -40.37796591 -44.29423612
148.27968536 130.00125934 167.10381063
-24.51360791 25.25444776 22.52951728
-0.01394665 -0.08598254 0.62593933
-0.00487207 0.00472977 -1.10193989
-0.02656764 0.00472951 -1.24991043
4.42865584 2.98861608 -3.52946435
-5.71147523 -4.04080448 -7.19377637
1.61449473 0.06851335 4.75325636
-0.03507621 -0.15879461 0.62697468
0.17503506 0.69483170 -0.23323496
0.07577767 0.16044432 -2.33115718
-0.02661871 -0.08348231 -0.70386344
-0.02040266 -0.09773341 1.20846614
0.00084995 -0.09773341 1.47545659
0.16101303 0.15709658 2.11057673
-0.06253690 -0.02600867 -5.45186200
0.18085472 -0.02600909 -3.14434570
-0.00614905 -0.50440284 0.12401090
-0.00032510 0.48102033 -0.33066719
-1.76327383 7.59724568 -0.94603461
0.01026202 -0.11094251 -0.40642025
-1.64902345 1.72575882 6.85379712
-0.06244835 0.25739431 0.08299806
-114.12869965 64.17005456 46.20275402
-38.76172628 -34.09045847 -24.54515671
470.30920268 -205.69310996 -148.40793072
-0.00517085 -0.03816384 0.02471293
0.15657766 0.02092653 0.03194009
-0.15938335 -0.00227710 0.00150554
6.06758571 -6.28902717 -4.38239724
-0.33201097 0.05969120 5.55273595
0.03928909 4.86720665 -1.77185969
0.01603512 -0.04081926 0.03782223
-0.07030117 0.21652322 -0.21758787
-0.08655081 0.18734096 -0.09723988
0.06015167 -0.15179596 0.02128104
0.75060320 -0.06128548 -0.00110913
-0.54415364 -0.32359887 0.03443790
0.11584846 -0.07632423 -0.18010181
-0.98116731 0.00559146 -0.31314973
0.88822550 -0.01603544 -0.09651176
-0.56009651 2.19411306 -0.22629636
0.22038648 -2.56329295 0.97802955
7.00920778 -5.22157861 -1.25129144
-0.12796839 -0.72963074 0.39977324
1.74419568 2.36557868 -4.39738613
0.24507685 -0.26133380 -0.12458235
47.05347138 -71.42798121 -40.35475859
34.02671423 39.67254444 25.10662084
-207.26225069 255.08497762 131.49179646
-0.03367149 0.72870724 -0.08900782
-0.00174302 -1.60103575 -0.00207420
-0.02058219 -1.41769631 -0.00207444
-6.20678141 -1.43362918 2.94427398
-1.26506022 4.73925630 -3.25283058
3.57753441 -7.43381574 0.71862155
-0.04249842 0.69762891 -0.16963089
0.20032122 -2.34377208 0.73701568
0.17692331 -0.25779057 0.18929419
-0.18190168 1.98098563 -0.07355979
0.03984731 -4.85209711 -0.10649454
-0.23298329 -3.25242499 -0.10649454
-0.07317987 -0.83518739 0.15173937
-0.04026205 1.71876867 0.14919953
-0.10924818 2.10080085 0.14919914
0.13722313 -0.23414151 -0.81106808
-0.41716092 1.27390847 -0.16698334
-0.95001200 -0.99393612 4.54376225
-0.46719426 0.39590697 2.08266358
6.33617255 -3.61734302 -3.40569945
-0.13323197 0.03975106 -2.29152782
33.83710680 -40.37796591 -44.29423612
24.51360791 25.25444778 22.52951729
-148.27968528 130.00125928 167.10381059
0.01394665 -0.08598254 0.62593933
0.02656764 0.00472951 -1.24991043
0.00487207 0.00472977 -1.10193989
-4.42865584 2.98861608 -3.52946435
5.71147522 -4.04080448 -7.19377637
-1.61449472 0.06851336 4.75325637
0.03507621 -0.15879461 0.62697468
-0.17503506 0.69483170 -0.23323496
-0.07577767 0.16044432 -2.33115718
0.02661871 -0.08348231 -0.70386345
-0.00084994 -0.09773341 1.47545659
0.02040265 -0.09773341 1.20846613
-0.16101303 0.15709658 2.11057673
-0.18085471 -0.02600909 -3.14434570
0.06253690 -0.02600866 -5.45186200
0.71344905 -0.00000000 0.00000000
-4.39584967 0.00000000 0.00000000
-0.18065526 0.00000000 0.00000000
0.74161420 0.00000000 -0.00000000
-0.15446354 0.00000000 0.00000000
-4.64458262 0.00000000 0.00000000
0.03696818 0.00000000 0.00000000
-0.00812961 0.03256637 -0.01991280
-0.00812961 -0.03256637 0.01991280
65.74619254 0.00000000 0.00000000
-114.39395454 -47.06276342 33.88549167
-114.39395454 47.06276341 -33.88549167
-0.03349518 0.00000000 0.00000000
0.14181651 0.00000000 -0.00000000
0.10332435 0.00000000 0.00000000
-7.84681103 -0.00000000 0.00000000
0.89450875 0.00000000 0.00000000
0.99106812 -0.00000000 -0.00000000
-0.11085644 0.00000000 -0.00000000
0.06891119 0.07118060 0.14174261
0.06891119 -0.07118060 -0.14174261
-0.11793410 0.00000000 0.00000000
0.11839171 0.17162993 0.02325915
0.11839171 -0.17162993 -0.02325915
0.00000000 1.06514012 0.22342350
0.00000000 -5.45013861 -1.34105982
-0.00000000 -0.17814768 -0.58271374
0.00000000 -6.30911328 -2.49012297
0.00000000 0.84143242 0.83265106
0.00000000 10.31106568 4.70730926
0.00000000 -0.29723649 -0.00000044
0.03206922 0.72248479 -0.08152567
-0.03206922 0.72248479 -0.08152567
-0.00000000 40.90644390 -20.97772062
-64.19038813 -71.21429315 40.31209788
64.19038812 -71.21429315 40.31209788
-0.00000000 -0.40955548 -0.03840233
0.00000000 1.31871227 0.08010723
0.00000000 0.41284265 0.20287711
0.00000000 -1.50069355 2.26410209
0.00000000 -0.85458832 -0.95120693
0.00000000 1.83988620 -0.22245418
0.00000000 0.25505702 0.00000050
0.08829371 -0.81648451 0.13960209
-0.08829371 -0.81648451 0.13960209
-0.00000000 -0.87981165 0.00000000
0.17850959 1.85486019 0.07358407
-0.17850959 1.85486019 0.07358407
0.00000000 0.21207896 -6.91262525
-0.00000000 -1.47335764 11.06022920
-0.00000000 -0.50704624 1.76743951
0.00000000 -2.47128597 0.12331561
0.00000000 0.81723499 0.61948055
0.00000000 4.53094847 -4.38833224
0.00000000 0.00000037 -0.40334745
-0.01419481 -0.08975759 0.62173870
0.01419481 -0.08975759 0.62173870
-0.00000000 -20.95241066 26.52845119
46.19863614 40.11866644 -44.33745341
-46.19863613 40.11866643 -44.33745341
-0.00000000 -0.03953375 -0.21811839
-0.00000000 0.07396204 -0.11525462
0.00000000 0.21717667 0.82434302
-0.00000000 2.28294341 0.12493339
0.00000000 -0.97244020 1.29006183
0.00000000 -0.27152854 -1.25614997
0.00000000 -0.00000043 -0.81645546
0.15924723 0.15756377 2.11557107
-0.15924723 0.15756377 2.11557107
